,stem_review,polarity_score,sentiment
0,warga jateng dukung anies baswedan presiden beliau cerdas wibawa pikir luas moga bawa ubah indonesia maju,8,positif
1,pasang amin benarbenar raih istimewa hati rakyat percaya dukung tanda harap,10,positif
2,pasang anies pasang ideal pimpin indonesia pasang cerdas komitmen isi sosok pimpin butuh masyarakat,7,positif
3,anies baswedan sosok pimpin toleran inklusif beliau junjung nilainilai agam satu,4,positif
4,anies baswedan milik senyum tawan,2,positif
5,keluarga pasang amin lindung demokrasi indonesia,9,positif
6,anies baswedan sosok pihak rakyat muhaimin iskandar sosok wakil penting umat islam,3,positif
7,medan awal amin amin lindung demokrasi indonesia,4,positif
8,keluarga pasang amin jaga lingkung hidup indonesia,2,positif
9,amin cermin pimpin milik mampu kolaborasi,2,positif
10,ya allah lindung pasang amin marabahaya moga lindung,22,positif
11,harap amin pimpin bersih transparan berani lawan ketidakadilan,0,netral
12,amin pasang presiden wakil presiden satu bangsa indonesia pimpin buka responsif aspirasi masyarakat,12,positif
13,anak muda pilih amin tingkat sejahtera masyarakat indonesia,-6,negatif
14,program kerja amin inovatif kreatif programprogram bawa ubah positif indonesia,8,positif
15,takut tinggal kalo ngedengerin amin ngomong jelas detail celah gagap sedikit,-17,negatif
16,amin harap indonesia all,0,netral
17,amin pasang ideal milik visi jaga lingkung hidup,7,positif
18,pilih amin jaga lingkung hidup indonesia,-5,negatif
19,moga anies pilih pemimipin indonesia,-1,negatif
20,keren pasang amin rangkul semu pemuda dukung pasang amin,13,positif
21,pasang aniescak imin lengkap kombinasi alam eksekutif arif sosialreligius anies bawa ahli manajemen kota cak imin kuat aspek nilainilai agama sejahtera sosial milik potensi bawa ubah positif kuat ekonomi indonesia,7,positif
22,pasang amin kuasa materi cocok presiden,11,positif
23,pasang amin cinta hati rakyat indonesia,6,positif
24,fix nih pasang amin the nex presiden indonesia,7,positif
25,pasang amin cermin pimpin indonesia cerdas bawa ubah,5,positif
26,moga pasang amin pilih presiden indonesia,6,positif
27,cirebon dukung pasang amin presidenn,8,positif
28,keren anies baswedan debat public speaking nya bagus,1,positif
29,amin keluarga dukung pasang amin capres cawapres moga indonesia sejahtera,10,positif
30,pilih pasang amin cerdas nya pimpin,2,positif
31,cerdas pintar pasang amin papar penjelasanjangan lupa pilih amin,-3,negatif
32,all amin ubah indonesia,0,netral
33,program program nya amin ragu tunjuk indonesia,-3,negatif
34,pasang amin adlah sosok pasang peduli masyarakat nya amin hati rakyat,11,positif
35,the next presiden anies baswedan amin moga pimpin duli masyarakat nya amin,3,positif
36,amin cermin pimpin mudahmudahan indonesia tentram adil dipimipin amin,4,positif
37,doa baik pasang amin moga pimpin,7,positif
38,amin pasang ideal capres cawapres kombinasi visi komitmen alam bawa ubah positif maju negara moga sukses misi indonesia,16,positif
39,tiga paslon capres cawapres pasang amin ideal capres cawapres lengkap sempurna,6,positif
40,pilih amin ubah indonesia,-2,negatif
41,anies cerdas indikasi anies paham usai soal papar amin indonesia maju,-3,negatif
42,anak muda cerdas all amin ubah indonesia,-5,negatif
43,anak muda cerdas pilih amin indonesia maju,-7,negatif
44,program kerja amin realistis wujud rekam jejak anies gubernur jakarta,7,positif
45,amin hati masyarakat indonesia,0,netral
46,bismillah amin the next presiden indonesia menang putar,4,positif
47,pasang amin pasang cermin indonesia maju,11,positif
48,doa baik amin moga menang putar,2,positif
49,riau dukung penuh amin,4,positif
50,serta keluarga dukung pilih amin presiden indonesia,8,positif
51,mantap anies keluarga pilih pasang amin putar,8,positif
