tanggal_publis,nama,komentar,likeCount
2023-12-21T20:12:28Z,@guestlontong8237,"saya sebagai warga jateng siap dukung pak anies baswedan sebagai presiden 2024, beliau cerdas, berwibawa, dan mampu untuk berpikir luas, semoga bisa membawa perubahan untuk indonesia lebih maju lagi...",0.0
2023-12-21T20:04:15Z,@guestlontong8237,Pasangan AMIN memang benar-benar meraih tempat istimewa di hati rakyat. Kepercayaan dan dukungan yang besar menandakan harapan tinggi untuk masa depan yang lebih baik lagi...,1.0
2023-12-21T20:02:17Z,@guestlontong8237,"Pasangan anies adalah pasangan yang menurut saya sangat ideal untuk memimpin indonesia di tahun 2024, pasangan yang cerdas, berkomitmen, dan saling mengisi satu sama lain, sosok pemimpin yang di butuhkan masyarakat...",0.0
2023-12-21T09:48:46Z,@fiqrimuhammad3107,Anies Baswedan adalah sosok pemimpin yang toleran dan inklusif. Beliau selalu menjunjung tinggi nilai-nilai keberagaman dan persatuan.,0.0
2023-12-21T09:47:54Z,@fiqrimuhammad3107,Anies Baswedan memiliki senyuman yang menawan.,0.0
2023-12-21T09:46:08Z,@fiqrimuhammad3107,Kami keluarga besar yakin bahwa pasangan AMIN dapat melindungi demokrasi di Indonesia.,0.0
2023-12-21T09:44:52Z,@fiqrimuhammad3107,"Anies Baswedan adalah sosok yang berpihak kepada rakyat, sedangkan Muhaimin Iskandar adalah sosok yang mewakili kepentingan umat Islam.",0.0
2023-12-21T09:43:03Z,@fiqrimuhammad3107,"Kami dari Medan, siap mengawal AMIN. Kami yakin AMIN dapat melindungi demokrasi di Indonesia.",4.0
2023-12-21T09:40:04Z,@fiqrimuhammad3107,Kami keluarga besar yakin bahwa pasangan AMIN dapat menjaga lingkungan hidup di Indonesia.,0.0
2023-12-21T09:37:50Z,@fiqrimuhammad3107,AMIN adalah cerminan pemimpin masa depan karena mereka memiliki kemampuan untuk bekerja sama dan berkolaborasi.,3.0
2023-12-21T09:36:54Z,@fiqrimuhammad3107,"Ya Allah, lindungilah pasangan AMIN dari segala marabahaya. Semoga mereka selalu dalam lindungan-Mu.",1.0
2023-12-21T09:35:35Z,@fiqrimuhammad3107,"Harapanku ada di AMIN. Pemimpin yang bersih, transparan, dan berani melawan ketidakadilan.",0.0
2023-12-21T09:34:10Z,@fiqrimuhammad3107,AMIN adalah pasangan presiden dan wakil presiden yang dapat mempersatukan bangsa Indonesia. Mereka adalah pemimpin yang terbuka dan responsif terhadap aspirasi masyarakat.,0.0
2023-12-21T09:33:51Z,@fiqrimuhammad3107,AMIN adalah pasangan presiden dan wakil presiden yang dapat mempersatukan bangsa Indonesia. Mereka adalah pemimpin yang terbuka dan responsif terhadap aspirasi masyarakat.,0.0
2023-12-21T09:31:54Z,@fiqrimuhammad3107,Saya sebagai anak muda memilih AMIN karena saya yakin bahwa dia dapat meningkatkan kesejahteraan masyarakat Indonesia.,0.0
2023-12-21T09:30:47Z,@fiqrimuhammad3107,Program kerja AMIN sangat inovatif dan kreatif. Saya yakin bahwa program-program tersebut dapat membawa perubahan positif bagi Indonesia.,0.0
2023-12-21T09:29:24Z,@fiqrimuhammad3107,"Takut ketinggalan kalo ngedengerin AMIN ngomong. Penjelasannya detail, nggk ada celah kegagapan sedikitpun.",0.0
