komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
saya sebagai warga jateng siap dukung pak anies baswedan sebagai presiden 2024 beliau cerdas berwibawa dan mampu untuk berpikir luas semoga bisa membawa perubahan untuk indonesia lebih maju lagi,"['warga', 'jateng', 'dukung', 'anies', 'baswedan', 'presiden', '2024', 'beliau', 'cerdas', 'wibawa', 'pikir', 'luas', 'moga', 'bawa', 'ubah', 'indonesia', 'maju']",8,positif,1,1,positif
pasangan anies adalah pasangan yang menurut saya sangat ideal untuk memimpin indonesia di tahun 2024 pasangan yang cerdas berkomitmen dan saling mengisi satu sama lain sosok pemimpin yang di butuhkan masyarakat,"['pasang', 'anies', 'pasang', 'ideal', 'pimpin', 'indonesia', '2024', 'pasang', 'cerdas', 'komitmen', 'isi', 'sosok', 'pimpin', 'butuh', 'masyarakat']",7,positif,1,1,positif
anies baswedan adalah sosok pemimpin yang toleran dan inklusif beliau selalu menjunjung tinggi nilainilai keberagaman dan persatuan,"['anies', 'baswedan', 'sosok', 'pimpin', 'toleran', 'inklusif', 'beliau', 'junjung', 'nilainilai', 'agam', 'satu']",4,positif,1,1,positif
anies baswedan memiliki senyuman yang menawan,"['anies', 'baswedan', 'milik', 'senyum', 'tawan']",2,positif,1,1,positif
anies baswedan adalah sosok yang berpihak kepada rakyat sedangkan muhaimin iskandar adalah sosok yang mewakili kepentingan umat islam,"['anies', 'baswedan', 'sosok', 'pihak', 'rakyat', 'muhaimin', 'iskandar', 'sosok', 'wakil', 'penting', 'umat', 'islam']",3,positif,1,1,positif
semoga pak anies terpilih menjadi pemimipin indonesia,"['moga', 'anies', 'pilih', 'pemimipin', 'indonesia']",-1,negatif,-1,1,positif
pasangan aniescak imin saling melengkapi dengan kombinasi pengalaman eksekutif dan kearifan sosialreligius anies membawa keahlian dalam manajemen perkotaan sementara cak imin dapat memperkuat aspek nilainilai keagamaan dan kesejahteraan sosial keduanya memiliki potensi untuk membawa perubahan positif dan memperkuat perekonomian indonesia,"['pasang', 'aniescak', 'imin', 'lengkap', 'kombinasi', 'alam', 'eksekutif', 'arif', 'sosialreligius', 'anies', 'bawa', 'ahli', 'manajemen', 'kota', 'cak', 'imin', 'kuat', 'aspek', 'nilainilai', 'agama', 'sejahtera', 'sosial', 'milik', 'potensi', 'bawa', 'ubah', 'positif', 'kuat', 'ekonomi', 'indonesia']",7,positif,1,1,positif
keren pak anies baswedan dalam debat pertama tanpa public speaking nya bagus benar,"['keren', 'anies', 'baswedan', 'debat', 'public', 'speaking', 'nya', 'bagus']",1,positif,1,1,positif
the next presiden kita nanti anies baswedan dan amin semoga jadi pemimpin yang perduli terhadap masyarakat nya amin,"['the', 'next', 'presiden', 'anies', 'baswedan', 'amin', 'moga', 'pimpin', 'duli', 'masyarakat', 'nya', 'amin']",3,positif,1,1,positif
dari cara pak anies menjawab yang cerdas mengindikasikan bahwa pak anies begitu memahami dan mengusai persoalannya sehingga bisa memaparkan dengan jelas amin 01 untuk indonesia maju,"['anies', 'cerdas', 'indikasi', 'anies', 'paham', 'usai', 'soal', 'papar', 'amin', '01', 'indonesia', 'maju']",-3,negatif,-1,1,positif
tampaknya hanya program kerja amin yang realistis dan dapat terwujud mengingat rekam jejak pak anies selama menjadi gubernur jakarta,"['program', 'kerja', 'amin', 'realistis', 'wujud', 'rekam', 'jejak', 'anies', 'gubernur', 'jakarta']",7,positif,1,1,positif
mantap pak anies keluarga besar saya siap untuk pilih pasangan amin untuk 1 putaran,"['mantap', 'anies', 'keluarga', 'pilih', 'pasang', 'amin', '1', 'putar']",8,positif,1,1,positif
pak anies sangat pas dan ideal sekali jadi pemimpin indonesia baik dari segi fisik beliau yang sangat fix dan kecerdasan beliau,"['anies', 'pas', 'ideal', 'pimpin', 'indonesia', 'segi', 'fisik', 'beliau', 'fix', 'cerdas', 'beliau']",2,positif,1,1,positif
pak anies baswedan adalah pemimpin yang amanah rendah hati selalu mementingkan rakyat,"['anies', 'baswedan', 'pimpin', 'amanah', 'rendah', 'hati', 'penting', 'rakyat']",-1,negatif,-1,1,positif
ini adalah keputusan yang bijak dan penuh kesadaran dari keluarga besar kami siap untuk memilik dan mendukung pasangan pak anies dan pak amin sebagai calon presiden menujukkan kepercayaan yang tinggi terhadap integritas komitmen dan viis misi mereka,"['putus', 'bijak', 'penuh', 'sadar', 'keluarga', 'milik', 'dukung', 'pasang', 'anies', 'amin', 'calon', 'presiden', 'menujukkan', 'percaya', 'integritas', 'komitmen', 'viis', 'misi']",13,positif,1,1,positif
pasangan pak anies dan pak amin sebagai calon presiden dan calon wakil presiden adalah kombinasi yang sangat melengkapi satu sama lain terlihat sinergi yang kuat antara kebijaksanaan dan keenergianan visi progresif dan kepedulian terhadap kebutuhan masyarakat,"['pasang', 'anies', 'amin', 'calon', 'presiden', 'calon', 'wakil', 'presiden', 'kombinasi', 'lengkap', 'sinergi', 'kuat', 'bijaksana', 'keenergianan', 'visi', 'progresif', 'peduli', 'butuh', 'masyarakat']",5,positif,1,1,positif
anies baswedan memiliki penampilan yang memukau dan penuh kekar kecerdasannya yang tercermin dalam wajahnya menambah pesona kepemimpinannya sebagai gubernur jakarta,"['anies', 'baswedan', 'milik', 'tampil', 'pukau', 'penuh', 'kekar', 'cerdas', 'cermin', 'wajah', 'tambah', 'pesona', 'pimpin', 'gubernur', 'jakarta']",9,positif,1,1,positif
sering lihat jejak rekam nya pak anies baswedan ketika jadi gubernurmasyaa allah luar biasa banget banyak perubahan bagaimana nanti kalo jadi presiden ya pasti lebih baik,"['lihat', 'jejak', 'rekam', 'nya', 'anies', 'baswedan', 'gubernurmasyaa', 'allah', 'banget', 'ubah', 'kalo', 'presiden', 'ya']",15,positif,1,1,positif
jejak rekam nya pak anies ketika jadi gubernur di jakarta masya allah banyak perubahan nya dan satu lagi pak anis perduli terhadap masyarakat nya,"['jejak', 'rekam', 'nya', 'anies', 'gubernur', 'jakarta', 'masya', 'allah', 'ubah', 'nya', 'anis', 'duli', 'masyarakat', 'nya']",5,positif,1,1,positif
salut dengan anies bisa menjadj pemimpin jakarta yang jujur dan mensejhtrkan rkyat,"['salut', 'anies', 'menjadj', 'pimpin', 'jakarta', 'jujur', 'mensejhtrkan', 'rkyat']",3,positif,1,1,positif
anies terlihat sangat siap menjadi presiden apalagi saat memimpin jakarta ssngat baik sekali,"['anies', 'presiden', 'pimpin', 'jakarta', 'ssngat']",3,positif,1,1,positif
anies baswedan dan cak imin telah menunjukkan kinerja dan prestasi yang baik dalam jabatan atau tanggung jawab sebelumnya,"['anies', 'baswedan', 'cak', 'imin', 'kerja', 'prestasi', 'jabat', 'tanggung']",-3,negatif,-1,1,positif
pada umumnya anies baswedan dan cak imin dikenal sebagai individu yang memiliki kecerdasan dan keahlian dalam memaparkan penjelasan terkait berbagai isu keduanya memiliki latar belakang dan pengalaman yang berbeda namun mampu mengungkapkan ide dan gagasan mereka dengan jelas meskipun mungkin terdapat perbedaan pandangan namun kemampuan mereka dalam menyampaikan argumentasi dan penjelasan yang konkret patut diapresiasi kepintaran mereka dalam berbicara menjadi salah satu faktor yang membuat mereka mampu menjadi pemimpin dan tokoh publik yang diperhitungkan dalam dunia politik dan masyarakat,"['anies', 'baswedan', 'cak', 'imin', 'kenal', 'individu', 'milik', 'cerdas', 'ahli', 'papar', 'jelas', 'kait', 'isu', 'milik', 'latar', 'alam', 'beda', 'ide', 'gagas', 'beda', 'pandang', 'mampu', 'argumentasi', 'jelas', 'konkret', 'patut', 'apresiasi', 'pintar', 'bicara', 'salah', 'faktor', 'pimpin', 'tokoh', 'publik', 'hitung', 'dunia', 'politik', 'masyarakat']",-17,negatif,-1,1,positif
anak muda yang memilih anies mungkin melihat kinerja dan program kerjanya sebagai gubernur dki jakarta yang memberikan dampak positif mereka bisa percaya bahwa visi dan misinya sejalan dengan kebutuhan dan harapan generasi muda,"['anak', 'muda', 'pilih', 'anies', 'kerja', 'program', 'kerja', 'gubernur', 'dki', 'jakarta', 'dampak', 'positif', 'percaya', 'visi', 'misi', 'jalan', 'butuh', 'harap', 'generasi', 'muda']",-8,negatif,-1,1,positif
program kerja anies yang fokus pada penanganan banjir dan pembenahan lingkungan kota adalah langkah positif ini mencerminkan kesadaran akan isuisu lingkungan yang semakin mendesak untuk diatasi demi keberlanjutan perkotaan,"['program', 'kerja', 'anies', 'fokus', 'tangan', 'banjir', 'benah', 'lingkung', 'kota', 'langkah', 'positif', 'cermin', 'sadar', 'isuisu', 'lingkung', 'desak', 'atas', 'lanjut', 'kota']",4,positif,1,1,positif
orang nya kalem penuh tata krama terhadap rakyat kecil sangat menghormati itu lah kenapa aku pilih pak anies,"['orang', 'nya', 'kalem', 'penuh', 'tata', 'krama', 'rakyat', 'hormat', 'pilih', 'anies']",1,positif,1,1,positif
