komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
saya sebagai warga jateng siap dukung pak anies baswedan sebagai presiden 2024 beliau cerdas berwibawa dan mampu untuk berpikir luas semoga bisa membawa perubahan untuk indonesia lebih maju lagi,"['warga', 'jateng', 'dukung', 'anies', 'baswedan', 'presiden', '2024', 'beliau', 'cerdas', 'wibawa', 'pikir', 'luas', 'moga', 'bawa', 'ubah', 'indonesia', 'maju']",8,positif,1,1,positif
pasangan amin memang benarbenar meraih tempat istimewa di hati rakyat kepercayaan dan dukungan yang besar menandakan harapan tinggi untuk masa depan yang lebih baik lagi,"['pasang', 'amin', 'benarbenar', 'raih', 'istimewa', 'hati', 'rakyat', 'percaya', 'dukung', 'tanda', 'harap']",10,positif,1,1,positif
pasangan anies adalah pasangan yang menurut saya sangat ideal untuk memimpin indonesia di tahun 2024 pasangan yang cerdas berkomitmen dan saling mengisi satu sama lain sosok pemimpin yang di butuhkan masyarakat,"['pasang', 'anies', 'pasang', 'ideal', 'pimpin', 'indonesia', '2024', 'pasang', 'cerdas', 'komitmen', 'isi', 'sosok', 'pimpin', 'butuh', 'masyarakat']",7,positif,1,1,positif
anies baswedan adalah sosok pemimpin yang toleran dan inklusif beliau selalu menjunjung tinggi nilainilai keberagaman dan persatuan,"['anies', 'baswedan', 'sosok', 'pimpin', 'toleran', 'inklusif', 'beliau', 'junjung', 'nilainilai', 'agam', 'satu']",4,positif,1,1,positif
anies baswedan memiliki senyuman yang menawan,"['anies', 'baswedan', 'milik', 'senyum', 'tawan']",2,positif,1,1,positif
anies baswedan adalah sosok yang berpihak kepada rakyat sedangkan muhaimin iskandar adalah sosok yang mewakili kepentingan umat islam,"['anies', 'baswedan', 'sosok', 'pihak', 'rakyat', 'muhaimin', 'iskandar', 'sosok', 'wakil', 'penting', 'umat', 'islam']",3,positif,1,1,positif
kami dari medan siap mengawal amin kami yakin amin dapat melindungi demokrasi di indonesia,"['medan', 'awal', 'amin', 'amin', 'lindung', 'demokrasi', 'indonesia']",4,positif,1,1,positif
amin adalah cerminan pemimpin masa depan karena mereka memiliki kemampuan untuk bekerja sama dan berkolaborasi,"['amin', 'cermin', 'pimpin', 'milik', 'mampu', 'kolaborasi']",2,positif,1,1,positif
harapanku ada di amin pemimpin yang bersih transparan dan berani melawan ketidakadilan,"['harap', 'amin', 'pimpin', 'bersih', 'transparan', 'berani', 'lawan', 'ketidakadilan']",0,netral,0,1,positif
amin adalah pasangan presiden dan wakil presiden yang dapat mempersatukan bangsa indonesia mereka adalah pemimpin yang terbuka dan responsif terhadap aspirasi masyarakat,"['amin', 'pasang', 'presiden', 'wakil', 'presiden', 'satu', 'bangsa', 'indonesia', 'pimpin', 'buka', 'responsif', 'aspirasi', 'masyarakat']",12,positif,1,1,positif
program kerja amin sangat inovatif dan kreatif saya yakin bahwa programprogram tersebut dapat membawa perubahan positif bagi indonesia,"['program', 'kerja', 'amin', 'inovatif', 'kreatif', 'programprogram', 'bawa', 'ubah', 'positif', 'indonesia']",8,positif,1,1,positif
semoga pak anies terpilih menjadi pemimipin indonesia,"['moga', 'anies', 'pilih', 'pemimipin', 'indonesia']",-1,negatif,-1,1,positif
pasangan aniescak imin saling melengkapi dengan kombinasi pengalaman eksekutif dan kearifan sosialreligius anies membawa keahlian dalam manajemen perkotaan sementara cak imin dapat memperkuat aspek nilainilai keagamaan dan kesejahteraan sosial keduanya memiliki potensi untuk membawa perubahan positif dan memperkuat perekonomian indonesia,"['pasang', 'aniescak', 'imin', 'lengkap', 'kombinasi', 'alam', 'eksekutif', 'arif', 'sosialreligius', 'anies', 'bawa', 'ahli', 'manajemen', 'kota', 'cak', 'imin', 'kuat', 'aspek', 'nilainilai', 'agama', 'sejahtera', 'sosial', 'milik', 'potensi', 'bawa', 'ubah', 'positif', 'kuat', 'ekonomi', 'indonesia']",7,positif,1,1,positif
pasangan amin paling dicintai dan tetap dihati rakyat indonesia,"['pasang', 'amin', 'cinta', 'hati', 'rakyat', 'indonesia']",6,positif,1,1,positif
pasangan amin adalah cerminan pemimpin masa depan indonesia cerdas dan membawa perubahan,"['pasang', 'amin', 'cermin', 'pimpin', 'indonesia', 'cerdas', 'bawa', 'ubah']",5,positif,1,1,positif
