komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
ada moment prabowo dan ganjar cuma berjabat tangan biasa prabowo dan anies pun juga begitu entah saya melihat prabowo ini seperti belum siaptertekanbrbrsementara ganjar dan anies saling peluk hangat n cipika cipiki sepertinya capres ganjar dan anies lah yang menguasai panggung debat kali ini ganjar cukup oke tapi jujur anies lebih dominan unggul sementara prabowo terlalu sensitifemosional,"['moment', 'prabowo', 'ganjar', 'jabat', 'tangan', 'prabowo', 'anies', 'prabowo', 'siaptertekanbrbrsementara', 'ganjar', 'anies', 'peluk', 'hangat', 'n', 'cipika', 'cipiki', 'capres', 'ganjar', 'anies', 'kuasa', 'panggung', 'debat', 'kali', 'ganjar', 'oke', 'jujur', 'anies', 'dominan', 'unggul', 'prabowo', 'sensitifemosional']",16,positif,1,1,positif
1 anies pemimpinbr2 prabowo komentatorbr3 ganjar motivator,"['1', 'anies', 'pemimpinbr2', 'prabowo', 'komentatorbr3', 'ganjar', 'motivator']",2,positif,1,1,positif
sebenarnya orangorang indonesia bisa menilaicuman yang bikin heran kenapa masih pilih wowo dan ganjar,"['orangorang', 'indonesia', 'menilaicuman', 'bikin', 'heran', 'pilih', 'wowo', 'ganjar']",1,positif,1,-1,negatif
janji pilkada saja enggak di penuhi selama tahun berkuasa sekarang soksokan bisa harus memenuhi mengomong boleh jago tapi kau enggak bisa kerja aniieess kejaan mu jeblok di jakarta br pohon asli ditebang diganti dengan pohon plastik situ waras br sungai kotor bukannya di bersihin malah ditutup sama pembungkus hitam br mengatasi banjir dengan lobang2 yang selain enggak berfungis malah merusak jalanan br patung bambu dipajang beberapa minggu kemudian di bongkar karena rapuh dan jelek pandangbrbrpolusi yang disalahkan angin situ waras brbrmari kita pilih ganjarmahfud tinggalkan mantan gakbener dki jakarta,"['janji', 'pilkada', 'penuh', 'kuasa', 'soksokan', 'penuh', 'omong', 'jago', 'kau', 'kerja', 'aniieess', 'kejaan', 'mu', 'jeblok', 'jakarta', 'br', 'pohon', 'asli', 'tebang', 'ganti', 'pohon', 'plastik', 'situ', 'waras', 'br', 'sungai', 'kotor', 'bersihin', 'tutup', 'bungkus', 'hitam', 'br', 'atas', 'banjir', 'lobang2', 'berfungis', 'rusak', 'jalan', 'br', 'patung', 'bambu', 'pajang', 'minggu', 'bongkar', 'rapuh', 'jelek', 'pandangbrbrpolusi', 'salah', 'angin', 'situ', 'waras', 'brbrmari', 'pilih', 'ganjarmahfud', 'tinggal', 'mantan', 'gakbener', 'dki', 'jakarta']",-50,negatif,-1,-1,negatif
dikalteng bpk ganjar tidak datang jadi dari ujung timur sampai ujung barat nya kapan,"['dikalteng', 'bpk', 'ganjar', 'ujung', 'timur', 'ujung', 'barat', 'nya']",-4,negatif,-1,-1,negatif
fan gemoy brisik banget di sosmed nanti kalah lagi yang di salahkan kpu wkwkwkwkwkw brganjar is the best,"['fan', 'gemoy', 'brisik', 'banget', 'sosmed', 'kalah', 'salah', 'kpu', 'wkwkwkwkwkw', 'brganjar', 'is', 'the', 'best']",-7,negatif,-1,-1,negatif
salah fokus sama pak otto hasibuan 23040 brbrpak prabowo dengan belajar dan konfirmasi lawannya brstrategi pak anis sangat getol mempertahankan pendapat beliau wlpn berbeda dengan yang lainbrpak ganjar menelaah dan melihat apa yang terjadi dengan lawan tanpa menjatuhkan brbrtim netral ya,"['salah', 'fokus', 'otto', 'hasibuan', '23040', 'brbrpak', 'prabowo', 'ajar', 'konfirmasi', 'lawan', 'brstrategi', 'anis', 'getol', 'tahan', 'dapat', 'beliau', 'wlpn', 'beda', 'lainbrpak', 'ganjar', 'telaah', 'lawan', 'jatuh', 'brbrtim', 'netral', 'ya']",-8,negatif,-1,-1,negatif
kayaknya pak prabowo cynical banget sama pak anies ya ada dendam apanihklo sama pak ganjar enggak begitu masih ads respeknya,"['kayak', 'prabowo', 'cynical', 'banget', 'anies', 'ya', 'dendam', 'apanihklo', 'ganjar', 'ads', 'respek']",-1,negatif,-1,-1,negatif
entah kenapa setelah menonton debat capres aku kurang yakin dengan program kerja pragib takut nya gagal mewujudkan visimisi setelah ditanya habishabisan oleh anis dan ganjar,"['tonton', 'debat', 'capres', 'program', 'kerja', 'pragib', 'takut', 'nya', 'gagal', 'wujud', 'visimisi', 'habishabisan', 'anis', 'ganjar']",-2,negatif,-1,-1,negatif
ktp sakti dan angin yang tidak berktpbrbrcapres rt kosong satu dengan capres rt kosong dua pada debat perdana quotmarbadaquot tentang polusi udara di jakartabrbrcapres rt kosong satu mengatakan bahwa polusi udara disebabkan oleh angin yang datang dari segala penjuru angin tidak menetap sebab angin tidak berktp bukan main ngelesnya brbrcapres rt kosong dua terkesiap mendengar jawaban capres rt kosong satu yang ngeles itu yasusah kalau menyalahkan angin mungkin tidak perlu ada pemerintahan kalau begitu ujarnya quothalaahcapres kosong dua ini pun kadangkadang telmi lelet paksebaiknya ada pemerintahan di dki supaya angin diadakan ktpnya jadi polusi udara gampang dikontrolquot brbrdi saat yang dua orang itu quotmarbadaquot tentang angin ganjar pranowo jauh sebelumnya sudah menyusun gagasan dan program ktp sakti untuk diterapkan jika ganjar terpilihbrbrganjarmahfud menggagas ktp sakti untuk mengintegrasikan kebijakan pemerintahan di masa depan untuk warga masyarakat seperti di bidang sosial kesehatan pendidikan tenaga kerja dlsbbrbrnomor kependudukan yang tertera dalam ktp elektronik dapat dipakai untuk mengintegrasikan berbagai intervensi kebijakan dari pemerintah kepada warga masyarakat,"['ktp', 'sakti', 'angin', 'berktpbrbrcapres', 'rt', 'kosong', 'capres', 'rt', 'kosong', 'debat', 'perdana', 'quotmarbadaquot', 'polusi', 'udara', 'jakartabrbrcapres', 'rt', 'kosong', 'polusi', 'udara', 'sebab', 'angin', 'penjuru', 'angin', 'tetap', 'angin', 'berktp', 'main', 'ngelesnya', 'brbrcapres', 'rt', 'kosong', 'kesiap', 'dengar', 'capres', 'rt', 'kosong', 'ngeles', 'yasusah', 'salah', 'angin', 'perintah', 'quothalaahcapres', 'kosong', 'kadangkadang', 'telmi', 'lelet', 'paksebaiknya', 'perintah', 'dki', 'angin', 'ada', 'ktpnya', 'polusi', 'udara', 'gampang', 'dikontrolquot', 'brbrdi', 'orang', 'quotmarbadaquot', 'angin', 'ganjar', 'pranowo', 'susun', 'gagas', 'program', 'ktp', 'sakti', 'terap', 'ganjar', 'terpilihbrbrganjarmahfud', 'gagas', 'ktp', 'sakti', 'integrasi', 'bijak', 'perintah', 'warga', 'masyarakat', 'bidang', 'sosial', 'sehat', 'didik', 'tenaga', 'kerja', 'dlsbbrbrnomor', 'duduk', 'tera', 'ktp', 'elektronik', 'pakai', 'integrasi', 'intervensi', 'bijak', 'perintah', 'warga', 'masyarakat']",-27,negatif,-1,-1,negatif
