komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
ada moment prabowo dan ganjar cuma berjabat tangan biasa prabowo dan anies pun juga begitu entah saya melihat prabowo ini seperti belum siaptertekanbrbrsementara ganjar dan anies saling peluk hangat n cipika cipiki sepertinya capres ganjar dan anies lah yang menguasai panggung debat kali ini ganjar cukup oke tapi jujur anies lebih dominan unggul sementara prabowo terlalu sensitifemosional,"['moment', 'prabowo', 'ganjar', 'jabat', 'tangan', 'prabowo', 'anies', 'prabowo', 'siaptertekanbrbrsementara', 'ganjar', 'anies', 'peluk', 'hangat', 'n', 'cipika', 'cipiki', 'capres', 'ganjar', 'anies', 'kuasa', 'panggung', 'debat', 'kali', 'ganjar', 'oke', 'jujur', 'anies', 'dominan', 'unggul', 'prabowo', 'sensitifemosional']",16,positif,1,1,positif
1 anies pemimpinbr2 prabowo komentatorbr3 ganjar motivator,"['1', 'anies', 'pemimpinbr2', 'prabowo', 'komentatorbr3', 'ganjar', 'motivator']",2,positif,1,1,positif
prabowo panas wkwk lihat dong amin murah senyum tenang tegas lugas cerdas,"['prabowo', 'panas', 'wkwk', 'lihat', 'amin', 'murah', 'senyum', 'tenang', 'lugas', 'cerdas']",14,positif,1,1,positif
pak prabowo kayanya cocokan jadi pelawak,"['prabowo', 'kaya', 'cocok', 'lawak']",1,positif,1,1,positif
sebenarnya orangorang indonesia bisa menilaicuman yang bikin heran kenapa masih pilih wowo dan ganjar,"['orangorang', 'indonesia', 'menilaicuman', 'bikin', 'heran', 'pilih', 'wowo', 'ganjar']",1,positif,1,-1,negatif
janji pilkada saja enggak di penuhi selama tahun berkuasa sekarang soksokan bisa harus memenuhi mengomong boleh jago tapi kau enggak bisa kerja aniieess kejaan mu jeblok di jakarta br pohon asli ditebang diganti dengan pohon plastik situ waras br sungai kotor bukannya di bersihin malah ditutup sama pembungkus hitam br mengatasi banjir dengan lobang2 yang selain enggak berfungis malah merusak jalanan br patung bambu dipajang beberapa minggu kemudian di bongkar karena rapuh dan jelek pandangbrbrpolusi yang disalahkan angin situ waras brbrmari kita pilih ganjarmahfud tinggalkan mantan gakbener dki jakarta,"['janji', 'pilkada', 'penuh', 'kuasa', 'soksokan', 'penuh', 'omong', 'jago', 'kau', 'kerja', 'aniieess', 'kejaan', 'mu', 'jeblok', 'jakarta', 'br', 'pohon', 'asli', 'tebang', 'ganti', 'pohon', 'plastik', 'situ', 'waras', 'br', 'sungai', 'kotor', 'bersihin', 'tutup', 'bungkus', 'hitam', 'br', 'atas', 'banjir', 'lobang2', 'berfungis', 'rusak', 'jalan', 'br', 'patung', 'bambu', 'pajang', 'minggu', 'bongkar', 'rapuh', 'jelek', 'pandangbrbrpolusi', 'salah', 'angin', 'situ', 'waras', 'brbrmari', 'pilih', 'ganjarmahfud', 'tinggal', 'mantan', 'gakbener', 'dki', 'jakarta']",-50,negatif,-1,-1,negatif
dikalteng bpk ganjar tidak datang jadi dari ujung timur sampai ujung barat nya kapan,"['dikalteng', 'bpk', 'ganjar', 'ujung', 'timur', 'ujung', 'barat', 'nya']",-4,negatif,-1,-1,negatif
yang jelas saya tidak percaya dengan praban yang prabowo sudah terlalu tua dan gibran terlalu muda tidak berpengalaman tidak punya integritas bagaimana mungkin negara jika dipimpin merekasebaiknya paslon no 2 mundur saja,"['percaya', 'praban', 'prabowo', 'tua', 'gibran', 'muda', 'alam', 'integritas', 'negara', 'pimpin', 'merekasebaiknya', 'paslon', 'no', '2', 'mundur']",-3,negatif,-1,-1,negatif
2014 enggak pilih prabowo br201 enggak pilih prabowobr2024 sama enggak pilih prabowo lagi,"['2014', 'pilih', 'prabowo', 'br201', 'pilih', 'prabowobr2024', 'pilih', 'prabowo']",-6,negatif,-1,-1,negatif
bismillahirrahmanirrahim biar allah yang bertindak all ini prabowo,"['bismillahirrahmanirrahim', 'biar', 'allah', 'tindak', 'all', 'prabowo']",3,positif,1,1,positif
