komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment
saya sebagai warga jateng siap dukung pak anies baswedan sebagai presiden 2024 beliau cerdas berwibawa dan mampu untuk berpikir luas semoga bisa membawa perubahan untuk indonesia lebih maju lagi,"['warga', 'jateng', 'dukung', 'anies', 'baswedan', 'presiden', '2024', 'beliau', 'cerdas', 'wibawa', 'pikir', 'luas', 'moga', 'bawa', 'ubah', 'indonesia', 'maju']",8,positif,1,Positif
pasangan amin memang benarbenar meraih tempat istimewa di hati rakyat kepercayaan dan dukungan yang besar menandakan harapan tinggi untuk masa depan yang lebih baik lagi,"['pasang', 'amin', 'benarbenar', 'raih', 'istimewa', 'hati', 'rakyat', 'percaya', 'dukung', 'tanda', 'harap']",10,positif,1,Positif
pasangan anies adalah pasangan yang menurut saya sangat ideal untuk memimpin indonesia di tahun 2024 pasangan yang cerdas berkomitmen dan saling mengisi satu sama lain sosok pemimpin yang di butuhkan masyarakat,"['pasang', 'anies', 'pasang', 'ideal', 'pimpin', 'indonesia', '2024', 'pasang', 'cerdas', 'komitmen', 'isi', 'sosok', 'pimpin', 'butuh', 'masyarakat']",7,positif,1,Positif
anies baswedan adalah sosok pemimpin yang toleran dan inklusif beliau selalu menjunjung tinggi nilainilai keberagaman dan persatuan,"['anies', 'baswedan', 'sosok', 'pimpin', 'toleran', 'inklusif', 'beliau', 'junjung', 'nilainilai', 'agam', 'satu']",4,positif,1,Positif
anies baswedan memiliki senyuman yang menawan,"['anies', 'baswedan', 'milik', 'senyum', 'tawan']",2,positif,1,Positif
kami keluarga besar yakin bahwa pasangan amin dapat melindungi demokrasi di indonesia,"['keluarga', 'pasang', 'amin', 'lindung', 'demokrasi', 'indonesia']",9,positif,1,Positif
anies baswedan adalah sosok yang berpihak kepada rakyat sedangkan muhaimin iskandar adalah sosok yang mewakili kepentingan umat islam,"['anies', 'baswedan', 'sosok', 'pihak', 'rakyat', 'muhaimin', 'iskandar', 'sosok', 'wakil', 'penting', 'umat', 'islam']",3,positif,1,Positif
kami dari medan siap mengawal amin kami yakin amin dapat melindungi demokrasi di indonesia,"['medan', 'awal', 'amin', 'amin', 'lindung', 'demokrasi', 'indonesia']",4,positif,1,Positif
kami keluarga besar yakin bahwa pasangan amin dapat menjaga lingkungan hidup di indonesia,"['keluarga', 'pasang', 'amin', 'jaga', 'lingkung', 'hidup', 'indonesia']",2,positif,1,Positif
amin adalah cerminan pemimpin masa depan karena mereka memiliki kemampuan untuk bekerja sama dan berkolaborasi,"['amin', 'cermin', 'pimpin', 'milik', 'mampu', 'kolaborasi']",2,positif,1,Positif
ya allah lindungilah pasangan amin dari segala marabahaya semoga mereka selalu dalam lindunganmu,"['ya', 'allah', 'lindung', 'pasang', 'amin', 'marabahaya', 'moga', 'lindung']",22,positif,1,Positif
harapanku ada di amin pemimpin yang bersih transparan dan berani melawan ketidakadilan,"['harap', 'amin', 'pimpin', 'bersih', 'transparan', 'berani', 'lawan', 'ketidakadilan']",0,netral,0,Positif
amin adalah pasangan presiden dan wakil presiden yang dapat mempersatukan bangsa indonesia mereka adalah pemimpin yang terbuka dan responsif terhadap aspirasi masyarakat,"['amin', 'pasang', 'presiden', 'wakil', 'presiden', 'satu', 'bangsa', 'indonesia', 'pimpin', 'buka', 'responsif', 'aspirasi', 'masyarakat']",12,positif,1,Positif
saya sebagai anak muda memilih amin karena saya yakin bahwa dia dapat meningkatkan kesejahteraan masyarakat indonesia,"['anak', 'muda', 'pilih', 'amin', 'tingkat', 'sejahtera', 'masyarakat', 'indonesia']",-6,negatif,-1,Positif
program kerja amin sangat inovatif dan kreatif saya yakin bahwa programprogram tersebut dapat membawa perubahan positif bagi indonesia,"['program', 'kerja', 'amin', 'inovatif', 'kreatif', 'programprogram', 'bawa', 'ubah', 'positif', 'indonesia']",8,positif,1,Positif
takut ketinggalan kalo ngedengerin amin ngomong penjelasannya detail enggak ada celah kegagapan sedikitpun,"['takut', 'tinggal', 'kalo', 'ngedengerin', 'amin', 'ngomong', 'jelas', 'detail', 'celah', 'gagap', 'sedikit']",-17,negatif,-1,Negatif
amin adalah harapan baru bagi indonesia saya all ini untuk mereka,"['amin', 'harap', 'indonesia', 'all']",0,netral,0,Positif
amin pasangan yang ideal karena mereka memiliki visi untuk menjaga lingkungan hidup,"['amin', 'pasang', 'ideal', 'milik', 'visi', 'jaga', 'lingkung', 'hidup']",7,positif,1,Positif
saya yakin memilih amin karena saya yakin bahwa dia dapat menjaga lingkungan hidup di indonesia,"['pilih', 'amin', 'jaga', 'lingkung', 'hidup', 'indonesia']",-5,negatif,-1,Negatif
semoga pak anies terpilih menjadi pemimipin indonesia,"['moga', 'anies', 'pilih', 'pemimipin', 'indonesia']",-1,negatif,-1,Positif
keren pasangan amin bisa merangkul semu para pemuda pun ikut mendukung pasangan amin,"['keren', 'pasang', 'amin', 'rangkul', 'semu', 'pemuda', 'dukung', 'pasang', 'amin']",13,positif,1,Positif
pasangan aniescak imin saling melengkapi dengan kombinasi pengalaman eksekutif dan kearifan sosialreligius anies membawa keahlian dalam manajemen perkotaan sementara cak imin dapat memperkuat aspek nilainilai keagamaan dan kesejahteraan sosial keduanya memiliki potensi untuk membawa perubahan positif dan memperkuat perekonomian indonesia,"['pasang', 'aniescak', 'imin', 'lengkap', 'kombinasi', 'alam', 'eksekutif', 'arif', 'sosialreligius', 'anies', 'bawa', 'ahli', 'manajemen', 'kota', 'cak', 'imin', 'kuat', 'aspek', 'nilainilai', 'agama', 'sejahtera', 'sosial', 'milik', 'potensi', 'bawa', 'ubah', 'positif', 'kuat', 'ekonomi', 'indonesia']",7,positif,1,Positif
pasangan amin sangat menguasai materi sekali sangat cocok mereka jadi presiden,"['pasang', 'amin', 'kuasa', 'materi', 'cocok', 'presiden']",11,positif,1,Positif
pasangan amin paling dicintai dan tetap dihati rakyat indonesia,"['pasang', 'amin', 'cinta', 'hati', 'rakyat', 'indonesia']",6,positif,1,Positif
fix nih pasangan amin the nex presiden indonesia,"['fix', 'nih', 'pasang', 'amin', 'the', 'nex', 'presiden', 'indonesia']",7,positif,1,Positif
pasangan amin adalah cerminan pemimpin masa depan indonesia cerdas dan membawa perubahan,"['pasang', 'amin', 'cermin', 'pimpin', 'indonesia', 'cerdas', 'bawa', 'ubah']",5,positif,1,Positif
semoga pasangan amin terpilih menjadi presiden indonesia selanjutnya,"['moga', 'pasang', 'amin', 'pilih', 'presiden', 'indonesia']",6,positif,1,Positif
saya dari cirebon siap dukung pasangan amin untuk jadi presidenn,"['cirebon', 'dukung', 'pasang', 'amin', 'presidenn']",8,positif,1,Positif
keren pak anies baswedan dalam debat pertama tanpa public speaking nya bagus benar,"['keren', 'anies', 'baswedan', 'debat', 'public', 'speaking', 'nya', 'bagus']",1,positif,1,Positif
amin saja dulu keluarga besar saya siap mendukung pasangan amin menjadi capres cawapres 2024 semoga indonesia makin sejahtera,"['amin', 'keluarga', 'dukung', 'pasang', 'amin', 'capres', 'cawapres', '2024', 'moga', 'indonesia', 'sejahtera']",10,positif,1,Positif
sudah yakin dong pilih pasangan amin karena kecerdasan nya dan pantas jadi pemimpin di 2024 nanti,"['pilih', 'pasang', 'amin', 'cerdas', 'nya', 'pimpin', '2024']",2,positif,1,Positif
dengan kecerdasan dan kepintaran pasangan amin sangat memaparkan penjelasanjangan lupa pilih amin,"['cerdas', 'pintar', 'pasang', 'amin', 'papar', 'penjelasanjangan', 'lupa', 'pilih', 'amin']",-3,negatif,-1,Negatif
all ini amin untuk perubahan indonesia menjadi lebih baik,"['all', 'amin', 'ubah', 'indonesia']",0,netral,0,Positif
program nya amin enggak usah diragukan lagi karena sudah menunjukan dan indonesia akan lebih baik lagi,"['program', 'nya', 'amin', 'ragu', 'tunjuk', 'indonesia']",-3,negatif,-1,Positif
pasangan amin adlah sosok pasangan yang peduli terhadap masyarakat nya amin selalu dihati rakyat,"['pasang', 'amin', 'adlah', 'sosok', 'pasang', 'peduli', 'masyarakat', 'nya', 'amin', 'hati', 'rakyat']",11,positif,1,Positif
the next presiden kita nanti anies baswedan dan amin semoga jadi pemimpin yang perduli terhadap masyarakat nya amin,"['the', 'next', 'presiden', 'anies', 'baswedan', 'amin', 'moga', 'pimpin', 'duli', 'masyarakat', 'nya', 'amin']",3,positif,1,Positif
sangat jelas amin adalah cerminan pemimpin masa depan mudahmudahan indonesia tentram dan adil jika dipimipin amin,"['amin', 'cermin', 'pimpin', 'mudahmudahan', 'indonesia', 'tentram', 'adil', 'dipimipin', 'amin']",4,positif,1,Positif
doa terbaik buat pasangan amin semoga bisa jadi pemimpin di tahun 2024 nanti,"['doa', 'baik', 'pasang', 'amin', 'moga', 'pimpin', '2024']",7,positif,1,Positif
amin adalah pasangan yang ideal sebagai capres dan cawapres kombinasi visi komitmen dan pengalaman keduanya dapat membawa perubahan positif dan kemajuan bagi negara semoga sukses dalam misi mereka untuk indonesia,"['amin', 'pasang', 'ideal', 'capres', 'cawapres', 'kombinasi', 'visi', 'komitmen', 'alam', 'bawa', 'ubah', 'positif', 'maju', 'negara', 'moga', 'sukses', 'misi', 'indonesia']",16,positif,1,Positif
dari ketiga paslon capres dan cawapres pasangan amin 01 lah yang paling ideal untuk jadi capres dan cawapres karena saling melengkapi dan saling menyempurnakan satu sama lain,"['tiga', 'paslon', 'capres', 'cawapres', 'pasang', 'amin', '01', 'ideal', 'capres', 'cawapres', 'lengkap', 'sempurna']",6,positif,1,Positif
semakin yakin pilih amin untuk perubahan indonesia,"['pilih', 'amin', 'ubah', 'indonesia']",-2,negatif,-1,Positif
dari cara pak anies menjawab yang cerdas mengindikasikan bahwa pak anies begitu memahami dan mengusai persoalannya sehingga bisa memaparkan dengan jelas amin 01 untuk indonesia maju,"['anies', 'cerdas', 'indikasi', 'anies', 'paham', 'usai', 'soal', 'papar', 'amin', '01', 'indonesia', 'maju']",-3,negatif,-1,Positif
sebagai anak muda yang cerdas pasti all ini amin untuk perubahan indonesia,"['anak', 'muda', 'cerdas', 'all', 'amin', 'ubah', 'indonesia']",-5,negatif,-1,Positif
anak muda yang cerdas pasti pilih amin untuk indonesia maju,"['anak', 'muda', 'cerdas', 'pilih', 'amin', 'indonesia', 'maju']",-7,negatif,-1,Negatif
tampaknya hanya program kerja amin yang realistis dan dapat terwujud mengingat rekam jejak pak anies selama menjadi gubernur jakarta,"['program', 'kerja', 'amin', 'realistis', 'wujud', 'rekam', 'jejak', 'anies', 'gubernur', 'jakarta']",7,positif,1,Positif
tetap amin yang ada dihati masyarakat indonesia,"['amin', 'hati', 'masyarakat', 'indonesia']",0,netral,0,Positif
bismillah amin 01 the next presiden indonesia menang 1 putaran,"['bismillah', 'amin', '01', 'the', 'next', 'presiden', 'indonesia', 'menang', '1', 'putar']",4,positif,1,Positif
pasangan amin adalah pasangan yang mencerminkan masa depan indonesia maju,"['pasang', 'amin', 'pasang', 'cermin', 'indonesia', 'maju']",11,positif,1,Positif
doa terbaik untuk amin 01 semoga menang 1 putaran,"['doa', 'baik', 'amin', '01', 'moga', 'menang', '1', 'putar']",2,positif,1,Positif
kami dari riau siap dukung penuh pada amin 01,"['riau', 'dukung', 'penuh', 'amin', '01']",4,positif,1,Positif
saya beserta keluarga besar siap mendukung dan memilih amin menjadi presiden indonesia,"['serta', 'keluarga', 'dukung', 'pilih', 'amin', 'presiden', 'indonesia']",8,positif,1,Positif
mantap pak anies keluarga besar saya siap untuk pilih pasangan amin untuk 1 putaran,"['mantap', 'anies', 'keluarga', 'pilih', 'pasang', 'amin', '1', 'putar']",8,positif,1,Positif
pasangan amin capres dan cawapres yang paling pas dan melengkapi,"['pasang', 'amin', 'capres', 'cawapres', 'pas', 'lengkap']",6,positif,1,Positif
program kerja pasangan amin sangat bagus sekali apalagi dilihat dari rekam jejaknya juga bagus,"['program', 'kerja', 'pasang', 'amin', 'bagus', 'rekam', 'jejak', 'bagus']",1,positif,1,Positif
